epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29326,5.42985,17.2256,4.2286,0,0,0,0,5.23567,5.99364,4.15866,0.0003334,0.0003334,0.0003334
2,7.40727,4.88149,10.0269,3.99575,0,0,0,0,5.22885,5.00369,4.15969,0.000676704,0.000676704,0.000676704
3,10.2344,3.87108,7.71267,3.5936,0,0,0,0,5.35106,5.27038,4.31259,0.00101308,0.00101308,0.00101308
4,13.3256,3.32002,6.23331,2.84599,0,0,0,0,5.35953,5.54111,4.31716,0.00134252,0.00134252,0.00134252
5,16.6376,3.0186,5.12503,2.55984,0,0,0,0,5.35787,5.76538,4.31902,0.00160099,0.00160099,0.00160099
6,20.1903,2.71149,4.37213,2.17416,0,0,0,0,5.37515,5.84736,4.33131,0.00158448,0.00158448,0.00158448
7,23.9492,2.57621,4.1252,2.1337,0.00064,0.14863,0.00116,0.00036,3.85765,4.92037,3.30651,0.00156798,0.00156798,0.00156798
8,27.3864,2.43788,3.53484,1.95024,0.2092,0.17668,0.10844,0.03261,2.43392,3.26035,2.1592,0.00155148,0.00155148,0.00155148
9,30.8388,2.33303,3.23836,1.76436,0.39785,0.31421,0.25832,0.09783,2.28186,2.54744,1.8339,0.00153497,0.00153497,0.00153497
10,34.2647,2.32625,3.15996,1.81839,0.41935,0.32058,0.28775,0.1267,2.07132,2.48218,1.76713,0.00151847,0.00151847,0.00151847
11,37.6864,2.24125,2.90397,1.74913,0.46174,0.37213,0.33779,0.13394,2.24061,2.75908,1.81351,0.00150197,0.00150197,0.00150197
12,41.1177,2.191,2.72148,1.75703,0.37093,0.41366,0.33555,0.14445,2.09873,2.11972,1.79409,0.00148546,0.00148546,0.00148546
13,44.6255,2.09412,2.63965,1.71698,0.35427,0.31075,0.27793,0.11766,2.02526,2.20485,1.74723,0.00146896,0.00146896,0.00146896
14,48.0887,2.03147,2.57197,1.56916,0.44228,0.4377,0.36952,0.16842,2.01636,1.94141,1.66985,0.00145246,0.00145246,0.00145246
15,51.5114,2.01155,2.46542,1.58684,0.41107,0.44965,0.37926,0.18404,1.89257,2.0496,1.62331,0.00143595,0.00143595,0.00143595
16,54.9676,1.98487,2.35293,1.53743,0.42096,0.4898,0.37854,0.16285,1.94404,2.32851,1.67281,0.00141945,0.00141945,0.00141945
17,58.3966,2.00773,2.31029,1.59339,0.5115,0.39435,0.37004,0.17084,1.959,1.76931,1.64037,0.00140295,0.00140295,0.00140295
18,61.8114,1.96814,2.25376,1.60981,0.41362,0.4366,0.40133,0.18637,1.92253,1.86636,1.64034,0.00138644,0.00138644,0.00138644
19,65.3299,1.95362,2.16475,1.58711,0.46607,0.41175,0.41769,0.19583,1.80855,1.71844,1.59146,0.00136994,0.00136994,0.00136994
20,68.8701,1.84553,2.043,1.47759,0.41389,0.42077,0.36403,0.16784,1.85135,1.72896,1.56489,0.00135344,0.00135344,0.00135344
21,72.3399,1.87201,2.05655,1.51685,0.51236,0.52605,0.50346,0.25825,1.70747,1.51612,1.48932,0.00133693,0.00133693,0.00133693
22,75.7944,1.79412,1.9862,1.49666,0.49081,0.49035,0.50273,0.25104,1.72007,1.69687,1.48714,0.00132043,0.00132043,0.00132043
23,79.2427,1.812,1.98505,1.52197,0.45524,0.49573,0.45149,0.22263,1.73662,1.65315,1.51997,0.00130393,0.00130393,0.00130393
24,82.7299,1.74473,1.90491,1.42221,0.57918,0.45118,0.53664,0.27408,1.67577,1.83995,1.49738,0.00128742,0.00128742,0.00128742
25,86.1585,1.74995,1.8441,1.40409,0.68071,0.55673,0.58222,0.28703,1.74768,1.50601,1.50308,0.00127092,0.00127092,0.00127092
26,89.5646,1.70803,1.73543,1.42632,0.63409,0.48852,0.57722,0.31321,1.61681,1.6115,1.41582,0.00125442,0.00125442,0.00125442
27,92.9987,1.71767,1.72728,1.38963,0.72323,0.60273,0.64034,0.35207,1.63089,1.33986,1.44503,0.00123791,0.00123791,0.00123791
28,96.4146,1.61325,1.69135,1.37298,0.69761,0.54758,0.60507,0.30404,1.65634,1.58472,1.42314,0.00122141,0.00122141,0.00122141
29,99.7989,1.60782,1.57172,1.33189,0.80614,0.51148,0.63137,0.34043,1.5862,1.31479,1.41296,0.00120491,0.00120491,0.00120491
30,103.171,1.65102,1.59491,1.38368,0.63422,0.50727,0.56259,0.31359,1.62608,1.56574,1.38771,0.0011884,0.0011884,0.0011884
31,106.578,1.58876,1.57462,1.3827,0.69039,0.52873,0.60204,0.33169,1.56852,1.54061,1.37438,0.0011719,0.0011719,0.0011719
32,109.984,1.57548,1.45973,1.32263,0.68021,0.58623,0.67771,0.36836,1.48831,1.37606,1.3409,0.0011554,0.0011554,0.0011554
33,113.348,1.57707,1.42799,1.29968,0.7245,0.66175,0.70228,0.39632,1.54152,1.26604,1.34461,0.00113889,0.00113889,0.00113889
34,116.754,1.55257,1.40135,1.28882,0.71299,0.65529,0.68526,0.37475,1.48726,1.22166,1.35916,0.00112239,0.00112239,0.00112239
35,120.128,1.6049,1.42168,1.29719,0.73387,0.65944,0.68847,0.36985,1.49473,1.23642,1.29057,0.00110589,0.00110589,0.00110589
36,123.914,1.56503,1.42305,1.29257,0.76725,0.60745,0.69689,0.39249,1.47643,1.16035,1.31459,0.00108938,0.00108938,0.00108938
37,127.29,1.57913,1.40552,1.31543,0.79561,0.56812,0.65251,0.379,1.47464,1.27514,1.31574,0.00107288,0.00107288,0.00107288
38,130.758,1.49913,1.3562,1.29308,0.67829,0.54882,0.66205,0.37648,1.46969,1.34394,1.29788,0.00105638,0.00105638,0.00105638
39,134.215,1.54004,1.38578,1.29053,0.79787,0.62842,0.69869,0.40671,1.42284,1.18052,1.30515,0.00103987,0.00103987,0.00103987
40,137.618,1.48627,1.30608,1.27644,0.75646,0.6582,0.71456,0.41309,1.42459,1.12709,1.2808,0.00102337,0.00102337,0.00102337
41,141.124,1.41714,1.25118,1.22349,0.84638,0.65301,0.7326,0.4274,1.43188,1.10481,1.26689,0.00100687,0.00100687,0.00100687
42,144.705,1.44948,1.22891,1.23758,0.78805,0.69292,0.7411,0.42466,1.36978,1.10045,1.2445,0.000990365,0.000990365,0.000990365
43,147.989,1.43753,1.22877,1.22478,0.75179,0.69982,0.73913,0.41579,1.452,1.05984,1.25781,0.000973861,0.000973861,0.000973861
44,151.169,1.50248,1.29162,1.27946,0.77387,0.71913,0.7498,0.41774,1.42799,1.02763,1.2539,0.000957358,0.000957358,0.000957358
45,154.351,1.49035,1.19627,1.20761,0.84532,0.67177,0.75522,0.44231,1.33549,1.07941,1.2199,0.000940855,0.000940855,0.000940855
46,157.389,1.42007,1.20228,1.21034,0.86184,0.64178,0.75323,0.45694,1.34622,1.00333,1.20335,0.000924352,0.000924352,0.000924352
47,160.456,1.43542,1.16507,1.24475,0.75704,0.67037,0.74729,0.4339,1.38421,1.10004,1.25349,0.000907848,0.000907848,0.000907848
48,163.477,1.42971,1.17294,1.22749,0.82338,0.63422,0.74206,0.4612,1.32214,1.00911,1.2328,0.000891345,0.000891345,0.000891345
49,166.546,1.38139,1.14123,1.20524,0.9048,0.59478,0.74214,0.46143,1.27557,0.98192,1.17919,0.000874842,0.000874842,0.000874842
50,169.521,1.35148,1.09885,1.17453,0.81769,0.65078,0.7413,0.46606,1.31815,0.99817,1.18489,0.000858338,0.000858338,0.000858338
51,172.655,1.34202,1.13089,1.20402,0.75257,0.66199,0.7053,0.42671,1.32829,1.16876,1.19034,0.000841835,0.000841835,0.000841835
52,175.745,1.30442,1.065,1.17298,0.85085,0.66066,0.76258,0.46024,1.33454,0.96,1.19119,0.000825332,0.000825332,0.000825332
53,178.827,1.33178,1.03942,1.16682,0.82701,0.6776,0.75211,0.44959,1.34952,0.97438,1.19279,0.000808828,0.000808828,0.000808828
54,181.831,1.32898,1.0297,1.15944,0.85163,0.70801,0.77483,0.46431,1.30416,0.94765,1.18662,0.000792325,0.000792325,0.000792325
55,184.869,1.34527,1.04852,1.15378,0.84586,0.73552,0.77085,0.48251,1.23505,0.92206,1.15526,0.000775822,0.000775822,0.000775822
56,187.876,1.32641,1.046,1.15441,0.82842,0.72777,0.76921,0.45649,1.22742,0.96618,1.13908,0.000759318,0.000759318,0.000759318
57,190.87,1.33314,1.08194,1.16511,0.87144,0.71332,0.78243,0.47799,1.27683,0.89352,1.16395,0.000742815,0.000742815,0.000742815
